상병코드,상병명,상병명(영문)
A160      ,세균학적 및 조직학적으로 음성인 결핵성 폐섬유증,Tuberculous fibrosis of lung/ bacteriologically and histologically negative
A160      ,세균학적 및 조직학적으로 음성인 폐결핵,Tuberculosis of lung/ bacteriologically and histologically negative
A1600     ,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 기관지확장증,Tuberculous bronchiectasis with cavitation/ bacteriologically and histologically negative
A1600     ,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ bacteriologically and histologically negative
A1600     ,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ bacteriologically and histologically negative
A1600     ,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ bacteriologically and histologically negative
A1600     ,세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ bacteriologically and histologically negative
A1601     ,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 기관지확장증,Tuberculous bronchiectasis without cavitation or unspecified/ bacteriologically and histologically negative
A1601     ,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ bacteriologically and histologically negative
A1601     ,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ bacteriologically and histologically negative
A1601     ,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ bacteriologically and histologically negative
A1601     ,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ bacteriologically and histologically negative
A161      ,노채(勞?),Fatigue and consumption
A161      ,세균학적 및 조직학적 검사를 하지 않은 결핵성 기관지확장증,Tuberculous bronchiectasis/ bacteriological and histological examination not done
A161      ,세균학적 및 조직학적 검사를 하지 않은 결핵성 기흉,Tuberculous pneumothorax/ bacteriological and histological examination not done
A161      ,세균학적 및 조직학적 검사를 하지 않은 결핵성 폐렴,Tuberculous pneumonia/ bacteriological and histological examination not done
A161      ,세균학적 및 조직학적 검사를 하지 않은 결핵성 폐섬유증,Tuberculous fibrosis of lung/ bacteriological and histological examination not done
A161      ,세균학적 및 조직학적 검사를 하지 않은 폐결핵,Tuberculosis of lung/ bacteriological and histological examination not done
A161      ,A16.0에 열거된 병태/ 세균학적 및 조직학적 검사를 하지 않은,Conditions listed in A16.0/ bacteriological and histological examination not done
A1610     ,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 기관지확장증,Tuberculous bronchiectasis with cavitation/ bacteriological and histological examination not done
A1610     ,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 기흉,Tuberculous pneumothorax with cavitation/ bacteriological and histological examination not done
A1610     ,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 폐렴,Tuberculous pneumonia with cavitation/ bacteriological and histological examination not done
A1610     ,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ bacteriological and histological examination not done
A1610     ,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ bacteriological and histological examination not done
A1610     ,A16.0에 열거된 공동이 있는 병태/ 세균학적 및 조직학적 검사를 하지 않은,Conditions with cavitation listed in A16.0/ bacteriological and histological examination not done
A1611     ,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 기관지확장증,Tuberculous bronchiectasis without cavitation or unspecified/ bacteriological and histological examination not done
A1611     ,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ bacteriological and histological examination not done
A1611     ,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ bacteriological and histological examination not done
A1611     ,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ bacteriological and histological examination not done
A1611     ,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ bacteriological and histological examination not done
A1611     ,A16.0에 열거된 공동이 없거나 상세불명의 병태/ 세균학적 및 조직학적 검사를 하지 않은,Conditions without cavitation or unspecified listed in A16.0/ bacteriological and histological examination not done
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 기관지확장증 NOS,Tuberculous bronchiectasis NOS/ without mention of bacteriological or histological confirmation
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 기흉 NOS,Tuberculous pneumothorax NOS/ without mention of bacteriological or histological confirmation
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 폐렴 NOS,Tuberculous pneumonia NOS/ without mention of bacteriological or histological confirmation
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 폐섬유증 NOS,Tuberculous fibrosis of lung NOS/ without mention of bacteriological or histological confirmation
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵,Tuberculosis of lung/ without mention of bacteriological or histological confirmation
A162      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵 NOS,Tuberculosis of lung NOS/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 기관지확장증 NOS,Tuberculous bronchiectasis NOS with cavitation/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 기흉 NOS,Tuberculous pneumothorax NOS with cavitation/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 폐렴 NOS,Tuberculous pneumonia NOS with cavitation/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 폐섬유증 NOS,Tuberculous fibrosis of lung NOS with cavitation/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ without mention of bacteriological or histological confirmation
A1620     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵 NOS,Tuberculosis of lung NOS with cavitation/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 기관지확장증 NOS,Tuberculous bronchiectasis NOS without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 기흉 NOS,Tuberculous pneumothorax NOS without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 폐렴 NOS,Tuberculous pneumonia NOS without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 폐섬유증 NOS,Tuberculous fibrosis of lung NOS without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A1621     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵 NOS,Tuberculosis of lung NOS without cavitation or unspecified/ without mention of bacteriological or histological confirmation
A163      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 기관기관지림프절의 결핵 NOS,Tuberculosis of tracheobronchial lymph nodes NOS/ without mention of bacteriological or histological confirmation
A163      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 종격림프절의 결핵 NOS,Tuberculosis of mediastinal lymph nodes NOS/ without mention of bacteriological or histological confirmation
A163      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐문림프절의 결핵 NOS,Tuberculosis of hilar lymph nodes NOS/ without mention of bacteriological or histological confirmation
A163      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵,Tuberculosis of intrathoracic lymph nodes/ without mention of bacteriological or histological confirmation
A163      ,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵 NOS,Tuberculosis of intrathoracic lymph nodes NOS/ without mention of bacteriological or histological confirmation
A1630     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기관기관지림프절의 결핵 NOS,Tuberculosis of tracheobronchial lymph nodes NOS with cavitation/ without mention of bacteriological or histological confirmation
A1630     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 종격림프절의 결핵 NOS,Tuberculosis of mediastinal lymph nodes NOS with cavitation/ without mention of bacteriological or histological confirmation
A1630     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐문림프절의 결핵 NOS,Tuberculosis of hilar lymph nodes NOS with cavitation/ without mention of bacteriological or histological confirmation
A1630     ,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 흉곽내림프절의 결핵,Tuberculosis of intrathoracic lymph nodes with cavitation/ without mention of bacteriological or histological confirmation
